组别,姓名,性别,出生年,出身月,出生地,出生地（经度）,出生地（纬度）,籍贯,籍贯（精度）,籍贯（纬度）,毕业学校,毕业学校（经度）,毕业学校（纬度）,专业,毕业时间,当选时间,获得称谓的单位
1.0,孙汉董,男,1939,11,云南,99.161761,25.112046,,,,云南大学,,,植物资源和植物化学,1962,2003.0,现为中国科学院昆明植物研究所
1.0,孙曼霁,男,1931,8,河南,114.392392,36.097577,,,,第五军医大学,,,生化学药理,1954,1991.0,现为军事医学科学院
1.0,孙儒泳,男,1927,6,浙江,121.550357,29.874556,,,,北京师范大学,,,生态,1951,1993.0,
1.0,唐崇惕,女,1929,11,福建,119.296494,26.074507,,,,厦门大学,,,寄生虫,1954,1991.0,
1.0,唐守正,男,1941,5,湖南,111.744258,27.258942,,,,北京林学院大学,,,森林经理,1963,1995.0,现为中国林业科学研究院资源信息研究所
1.0,田波,男,1931,12,山东,118.097923,36.959804,,,,北京农业大学,,,病毒,1954,1991.0,现为中国科学院微生物研究所
1.0,童坦君,男,1934,8,浙江,121.550357,29.874556,,,,北京医学院（现北京大学,,,生物化学,1959,2005.0,
1.0,汪忠镐,男,1937,9,浙江,120.264253,30.183806,,,,上海医学院（现复旦大学,,,血管,1961,2005.0,
1.0,王大成,男,1940,6,四川,104.066541,30.572269,,,,中国科学技术大学,,,分子生物物理,1963,2005.0,现为中国科学院生物物理研究所
1.0,王恩多,女,1944,11,山东,119.410103,35.995654,,,,中国科学院上海生物化学学研究所（1981年获硕士学位）大学,,,生物化学,1969,2005.0,现为中国科学院上海生命科学研究院
1.0,王福生,男,1962,8,安徽,117.2202,30.700733,,,,蚌埠医学院大学,,,传染病学、肝病学,1984,2015.0,
1.0,王文采,男,1926,6,山东,117.020359,36.66853,,,,北京师范大学,,,植物分类,1949,1993.0,现为中国科学院植物研究所
1.0,王正敏,男,1935,11,上海,121.473701,31.230416,,,,上海医学院（现复旦大学,,,耳鼻咽喉-头颈外科,1955,2005.0,
1.0,王志新,男,1953,8,江苏,119.597897,31.723247,,,,清华大学,,,生物化学学、生物物理,1977,1997.0,
1.0,王志珍,女,1942,7,江苏,118.763232,32.061707,,,,中国科学技术大学,,,生物化学学与分子生物,1964,,现为中国科学院生物物理研究所
1.0,魏辅文,男,1964,4,重庆,108.697324,30.930613,重庆,108.697324,30.930613,,,,保护生物,,2017.0,中国科学院动物研究所
1.0,魏江春,男,1931,11,陕西,108.708991,34.329605,,,,西北农学院大学,,,地衣真菌,1955,1997.0,现为中国科学院微生物研究所
1.0,魏于全,男,1959,6,四川,106.828697,32.346589,,,,华西医科大学,,,肿瘤治疗及肿瘤免疫,1983,2003.0,
1.0,吴常信,男,1935,11,浙江,120.152791,30.267446,,,,北京农业大学,,,动物遗传育种,1957,1995.0,
1.0,吴孟超,男,1922,8,福建,118.863361,26.221198,,,,上海同济大学,,,肝胆外科,1949,1991.0,
1.0,吴祖泽,男,1935,10,浙江,121.71654,29.948998,,,,山东大学,,,实验血液,1957,1993.0,现为军事医学科学院
1.0,武维华,男,1956,9,山西,111.518976,36.088005,,,,山西大学,,,植物生理,1982,2007.0,
1.0,谢华安,男,1941,8,福建,117.017536,25.075123,,,,福建省龙岩农业学校大学,,,植物遗传育种,1959,2007.0,现为福建省农业科学院
1.0,谢联辉,男,1935,3,福建,117.017536,25.075123,,,,福建农学院大学,,,植物病理,1958,1991.0,
1.0,徐国良,男,1965,2,浙江,120.246863,29.708692,,,,杭州大学,,,分子遗传,1985,2015.0,现为中国科学院上海生命科学研究院
1.0,徐涛,男,1970,8,湖北,111.286471,30.691967,湖北,111.286471,30.691967,华中科技大学,,,细胞生物物理,1992,2017.0,
1.0,许智宏,男,1942,10,江苏,120.31191,31.491169,,,,北京大学,,,植物生理,1965,1997.0,
1.0,阎锡蕴,女,1957,2,河南,114.307581,34.797239,,,,河南医学院大学,,,纳米生物,1983,2015.0,现为中国科学院生物物理研究所
1.0,杨福愉,男,1927,10,浙江,121.71654,29.948998,,,,浙江大学,,,生物化学,1950,1991.0,现为中国科学院生物物理研究所
1.0,杨焕明,男,1952,10,浙江,120.967147,28.116083,,,,杭州大学,,,基因组,1978,2007.0,
1.0,杨雄里,男,1941,10,浙江,121.71654,29.948998,,,,上海科技大学,,,生理,1963,1991.0,
1.0,姚开泰,男,1931,4,江苏,120.980737,31.385598,,,,上海第一医学院大学,,,病理生理,1954,1991.0,
1.0,叶玉如,女,1955,7,广东,112.794065,22.251924,,,,美国Simmons学院大学,,,神经生物,1977,2001.0,
1.0,尹文英,女,1922,10,河北,115.030076,37.063148,,,,中央大学,,,昆虫,1947,1991.0,现为中国科学院上海生命科学研究院
1.0,印象初,男,1934,7,江苏,121.181615,31.871173,,,,山东农学院大学,,,昆虫,1958,1995.0,
1.0,曾益新,男,1962,10,湖南,111.664316,27.692542,,,,湖南衡阳医学院（现南华大学,,,肿瘤,1985,2005.0,
1.0,曾毅,男,1929,3,广东,115.841838,23.431294,,,,上海医学院（现复旦大学,,,病毒,1952,1993.0,
1.0,翟中和,男,1930,8,江苏,119.484211,31.416911,,,,苏联列宁格勒大学,,,细胞生物,1956,1991.0,
1.0,张春霆,男,1936,9,山东,121.447935,37.463822,,,,复旦大学,,,生物信息,1961,1995.0,
1.0,张明杰,男,1966,9,浙江,121.550357,29.874556,,,,复旦大学,,,结构生物,1988,2011.0,
1.0,张启发,男,1953,12,湖北,112.229648,30.058336,,,,华中农学院大学,,,植物遗传和分子生物,1976,1999.0,
1.0,张新时,男,1934,6,山东,116.230158,36.846755,,,,北京林学院大学,,,生态,1955,1991.0,现为中国科学院植物研究所
1.0,张旭,男,1961,8,江苏,119.823308,31.340637,,,,第四军医大学,,,神经科,1985,,现为中国科学院上海生命科学研究院
1.0,张学敏,男,1963,11,湖北,114.305392,30.593098,,,,第三军医大学,,,肿瘤生物,1986,2011.0,现为军事医学科学院
1.0,张亚平,男,1965,5,四川,104.851944,29.764059,,,,复旦大学,,,分子进化学生物学和保护遗传,1986,,现为中国科学院昆明动物研究所
1.0,张永莲,女,1935,2,上海,121.473701,31.230416,,,,复旦大学,,,分子内分泌,1957,2001.0,现为中国科学院上海生命科学研究院
1.0,张友尚,男,1925,11,湖南,112.938814,28.228209,,,,浙江大学,,,生物化学学与分子生物,1948,2001.0,现为中国科学院上海生命科学研究院
1.0,赵国屏,男,1948,8,上海,121.473701,31.230416,,,,复旦大学,,,分子微生物,1982,2005.0,现为中国科学院上海生命科学研究院
1.0,赵继宗,男,1945,10,北京,116.407526,39.90403,,,,第四军医大学,,,神经外科医,1969,2013.0,
1.0,赵进东,男,1956,11,江苏,119.942437,31.701188,,,,西南师范大学,,,植物生理学及藻类,1982,2007.0,
1.0,赵玉沛,男,1954,7,吉林,125.323544,43.817071,,,,白求恩医科大学,,,外科医,1982,2011.0,
1.0,郑光美,男,1932,11,北京,116.407526,39.90403,,,,北京师范大学,,,动物学和鸟类生态,1954,2003.0,
1.0,郑儒永,女,1931,1,广东,116.601515,23.264936,,,,岭南大学,,,真菌,1953,1999.0,现为中国科学院微生物研究所
1.0,郑守仪,女,1931,5,广东,113.392782,22.517645,,,,菲律宾东方大学,,,海洋原生动物,1954,2001.0,现为中国科学院海洋研究所
1.0,种康,男,1962,4,陕西,110.149466,35.237986,陕西,110.149466,35.237986,兰州大学,,,植物生理,1984,2017.0,中国科学院植物研究所
1.0,周俊,男,1932,2,江苏,120.320331,32.86844,,,,华东化学工学院大学,,,植物资源与植物化学,1958,1999.0,中国科学院昆明植物研究所
1.0,周琪,男,1970,4,黑龙,126.534967,45.803775,,,,东北农业大学,,,干细胞和发育生物,1991,2015.0,现为中国科学院动物研究所
1.0,朱玉贤,男,1955,12,浙江,119.960076,30.048692,,,,浙江农业大学,,,植物生理,1982,2011.0,
1.0,朱兆良,男,1932,8,浙江,121.406995,29.655143,,,,山东大学,,,土壤,1953,1993.0,现为中国科学院南京土壤研究所
1.0,朱作言,男,1941,9,湖南,111.758702,29.633237,,,,北京大学,,,细胞及发育生物,1965,1997.0,现为中国科学院水生生物研究所
1.0,庄巧生,男,1916,8,福建,119.131725,26.150047,,,,金陵大学,,,遗传育种,1939,1991.0,现为中国农业科学院作物育种栽培研究所
1.0,庄文颖,女,1948,7,北京,116.407526,39.90403,,,,山西农学院大学,,,真菌,1975,2009.0,现为中国科学院微生物研究所
1.0,安芷生,男,1941,2,湖南,109.684629,27.443499,安徽,116.521854,31.733699,南京大学,,,第四纪地质,1962,1991.0,中国科学院地球环境研究所
1.0,常印佛,男,1931,7,江苏,120.051744,32.171854,,,,清华大学,,,矿床地质,1952,1991.0,
1.0,巢纪平,男,1932,10,江苏,120.31191,31.491169,,,,南京大学,,,气象,1954,1995.0,
1.0,陈大可,男,1957,9,湖南,112.938814,28.228209,湖南,112.35518,28.55386,湖南师范大学,,,物理海洋,1982,2015.0,国家海洋局第二海洋研究所
1.0,陈发虎,男,1962,12,陕西,110.327331,33.695783,陕西,110.327331,33.695783,兰州大学,,,自然地理,1984,2015.0,
1.0,陈俊勇,男,1933,5,上海,121.473701,31.230416,浙江,121.550357,29.874556,武汉测绘学院大学,,,大地测量,1960,1991.0,
1.0,陈骏,男,1954,11,上海,121.473701,31.230416,江苏,119.412966,32.39421,南京大学,,,地球化学,1980,2013.0,
1.0,陈晓非,男,1958,2,辽宁,123.766485,41.294175,四川,104.066541,30.572269,中国科学技术大学,,,地球物理,1982,2015.0,
1.0,陈旭,男,1936,9,江苏,118.796877,32.060255,浙江,120.086823,30.894348,北京地质学院大学,,,古生物与地层,1959,2003.0,中国科学院南京地质古生物研究所
1.0,陈颙,男,1942,12,重庆,106.551556,29.563009,江苏,118.275198,33.963232,中国科学技术大学,,,地球物理,1965,1993.0,
1.0,陈运泰,男,1940,8,福建,118.089425,24.479833,广东,116.601515,23.264936,北京大学,,,地球物理,1962,1991.0,中国地震局地球物理研究所
1.0,程国栋,男,1943,7,上海,121.473701,31.230416,,,,北京地质学院大学,,,冻土,1965,1993.0,
1.0,丑纪范,男,1934,7,湖南,112.938814,28.228209,,,,北京大学,,,气象,1956,1993.0,
1.0,崔鹏,男,1957,8,陕西,108.940174,34.341568,陕西,108.940174,34.341568,西北大学,,,自然地理学与水土保持,1982,2013.0,中国科学院水利部成都山地灾害与环境研究所
1.0,戴金星,男,1935,3,浙江,120.655148,27.778657,,,,南京大学,,,天然气地质与地球化学,1961,1995.0,
1.0,戴民汉,男,1965,4,浙江,120.15507,30.274084,浙江,120.264253,30.183806,厦门大学,,,化学学海洋,1987,2017.0,
1.0,邓起东,男,1938,2,湖南,112.175246,27.456658,,,,中南矿冶学院地质系大学,,,地质,1961,2003.0,中国地震局地质研究所
1.0,丁国瑜,男,1931,9,河北,115.778965,38.700088,,,,,,,地质,,1980.0,中国地震局
1.0,丁林,男,1965,7,安徽,116.94729,34.188728,,,,北京大学,,,地质,1988,2017.0,中国科学院青藏高原研究所
1.0,丁仲礼,男,1957,1,浙江,120.152791,30.267446,,,,,,,第四纪地质,,2005.0,
1.0,窦贤康,男,1966,1,安徽,117.910629,33.482982,安徽,117.910629,33.482982,中国科学技术大学,,,空间物理,1987,2017.0,
1.0,冯士筰,男,1937,3,天津,117.200983,39.084158,,,,清华大学,,,物理海洋和环境海洋,1962,1997.0,
1.0,符淙斌,男,1939,10,上海,121.473701,31.230416,,,,南京大学,,,气候,1962,2003.0,
1.0,傅伯杰,男,1958,1,陕西,108.708991,34.329605,,,,陕西师范大学,,,自然地理学、景观生态,1982,2011.0,中国科学院生态环境研究中心
1.0,高俊,男,1933,10,北京,116.407526,39.90403,,,,解放军测绘学院大学,,,地图学与地理信息系统,1956,1999.0,
1.0,高锐,男,1950,5,吉林,125.323544,43.817071,黑龙,126.312745,45.383263,长春地质学院地球物理勘探系大学,,,地球物理,1977,2015.0,
1.0,龚健雅,男,1957,4,江西,115.546385,28.054814,,,,华东地质学院测量系大学,,,测绘与地理信息,1982,2011.0,
1.0,郭华东,男,1950,10,江苏,116.595391,34.693906,江苏,117.284124,34.205768,南京大学,,,地球科学,1977,2011.0,中国科学院遥感与数学字地球研究所
1.0,郭正堂,男,1964,4,山西,113.191099,39.554247,,,,北京大学,,,新生代地质与古气候,1983,2013.0,中国科学院地质与地球物理研究所
1.0,郝芳,男,1964,5,内蒙,119.921604,42.290782,内蒙,118.886856,42.257817,武汉地质学院大学,,,石油地质,1986,,
1.0,侯增谦,男,1961,6,河北,114.468664,38.037057,河北,115.464806,38.873891,河北地质学院大学,,,矿床地质,1982,2017.0,中国地质科学院地质研究所
1.0,胡敦欣,男,1936,10,山东,120.447128,36.389639,,,,山东大学,,,物理海洋,1961,2001.0,中国科学院海洋研究所
1.0,黄荣辉,男,1942,8,福建,118.796605,25.030781,,,,北京大学,,,气象,1965,1991.0,中国科学院大气物理研究所
1.0,贾承造,男,1948,3,甘肃,103.834303,36.061089,河北,114.588903,39.840843,新疆工学院地质系大学,,,石油地质与构造地质,1975,2003.0,
1.0,焦念志,男,1962,12,,,,,,,山东海洋学院大学,,,生物海洋,1983,,
1.0,金振民,男,1941,9,浙江,120.699366,27.994267,,,,北京地质学院大学,,,地质,1965,2005.0,
1.0,金之钧,男,1957,9,山东,117.020359,36.66853,,,,山东科技大学,,,石油地质家,1981,2013.0,
1.0,李崇银,男,1940,4,四川,104.075931,30.651651,,,,中国科学技术大学,,,气象,1963,2001.0,中国科学院大气物理研究所
1.0,李德仁,男,1939,12,江苏,118.763232,32.061707,江苏,119.433854,32.131962,武汉测绘学院航测系大学,,,摄影测量与遥感,1963,1991.0,
1.0,李德生,男,1922,10,上海,121.473701,31.230416,江苏,120.585315,31.298886,中央大学,,,石油地质,1945,1991.0,
1.0,李吉均,男,1933,10,四川,104.075931,30.651651,,,,南京大学,,,自然地理与地貌,1956,1991.0,
1.0,李曙光,男,1941,2,陕西,108.708991,34.329605,,,,中国科学技术大学,,,地球化学,1965,2003.0,
1.0,李廷栋,男,1930,10,河北,114.648318,37.9002,,,,北京地质学院大学,,,地质,1953,1993.0,国土资源部咨询研究中心和中国地质科学院
1.0,林学钰,女,1937,3,上海,121.473701,31.230416,福建,119.296494,26.074507,长春地质学院水文地质及工程地质系大学,,,水文地质和环境水文地质,1957,1997.0,
1.0,刘宝珺,男,1931,9,天津,117.200983,39.084158,,,,北京地质学院大学,,,地质,1953,1991.0,
1.0,刘昌明,男,1934,5,湖南,112.938814,28.228209,,,,西北大学,,,水文水资源,1956,1995.0,中国科学院地理研究所
1.0,刘丛强,男,1955,9,贵州,106.927389,27.725654,,,,,,,地球化学,,2011.0,日本科学技术厅理化学学研究所基础科学特别
1.0,刘光鼎,男,1929,12,北京,116.407526,39.90403,山东,120.758848,37.810661,北京大学,,,海洋地质、地球物理,1952,1980.0,中国科学院地球物理研究所
1.0,刘嘉麒,男,1941,5,辽宁,124.354706,40.000499,北宁,123.647247,41.226505,长春地质学院大学,,,火山地质与第四纪地质,1965,2003.0,中国科学院地质与地球物理研究所
1.0,陆大道,男,1940,10,安徽,116.97412,31.0358,,,,北京大学,,,经济地理,1963,2003.0,中国科学院地理科学与资源研究所
1.0,吕达仁,男,1940,1,上海,121.473701,31.230416,,,,北京大学,,,大气物理,1962,2005.0,大气物理所
1.0,马瑾,男,1934,11,江苏,120.574946,32.370557,,,,北京地质学院大学,,,构造地质与构造物理,1956,1997.0,国家地震局地质研究所
1.0,马宗晋,男,1933,1,吉林,125.323544,43.817071,吉林,126.549576,43.837883,北京地质学院普查系大学,,,地质,1955,1991.0,
1.0,莫宣学,男,1938,12,广西,109.256334,25.065934,广西,109.256334,25.065934,北京地质学院（现中国地质大学,,,岩石,1960,2009.0,
1.0,穆穆,男,1954,8,安徽,117.698563,32.530982,,,,安徽大学,,,大气动力学,1978,2007.0,中国科学院海洋研究所
1.0,欧阳自远,男,1935,10,江西,114.992509,27.113443,江西,117.943433,28.454862,北京地质学院大学,,,天体化学学与地球化学,1956,1991.0,中国科学院地球化学学研究所
1.0,潘永信,男,1964,5,山西,111.007528,35.026412,,,,武汉地质学院大学,,,地球物理,1985,2017.0,中国科学院地质与地球物理研究所
1.0,彭平安,男,1960,11,籍贯,121.006725,29.144079,浙江,121.006725,29.144079,浙江大学,,,有机地球化学,1982,,中国科学院广州地球化学学研究所
1.0,秦大河,男,1947,1,甘肃,103.834303,36.061089,,,,兰州大学,,,地理,1970,2003.0,中国科学院寒区旱区环境与工程研究所
1.0,邱占祥,男,1936,3,山东,120.382639,36.067082,,,,前苏联莫斯科大学,,,古生物,1960,2005.0,中国科学院古脊椎动物与古人类研究所
1.0,任纪舜,男,1935,2,陕西,110.092301,34.566096,,,,西北大学,,,地质,1955,1997.0,中国地质科学院地质研究所
1.0,戎嘉余,男,1941,12,上海,121.473701,31.230416,浙江,120.152791,30.267446,北京地质学院大学,,,地层古生物,1962,1997.0,中国科学院南京地质古生物研究所
1.0,邵明安,男,1956,11,湖南,111.698497,29.031673,,,,湖南师范大学,,,土壤物理,1982,2017.0,中国科学院教育部水土保持与生态环境研究中心
1.0,沈其韩,男,1922,4,江苏,119.034725,33.631893,江苏,121.181615,31.871173,重庆大学,,,地质,1946,1991.0,国土资源部中国地质科学院地质研究所
1.0,沈树忠,男,1961,10,浙江,120.086823,30.894348,浙江,120.086823,30.894348,浙江煤炭工业学校大学,,,地层古生物,1981,,中国科学院南京地质古生物研究所
1.0,石广玉,男,1942,10,山东,118.054927,36.813487,,,,山东大学,,,大气物理,1968,2011.0,中国科学院大气物理研究所
1.0,石耀霖,男,1944,2,广西,110.290194,25.273566,,,,中国科学技术大学,,,地球物理,1966,2001.0,
1.0,舒德干,男,1946,2,湖南,112.944049,27.829738,,,,北京大学,,,进化学古生物,1969,,
1.0,苏纪兰,男,1935,12,湖南,113.345309,27.000227,,,,台湾大学,,,物理海洋,1957,1991.0,
1.0,孙鸿烈,男,1932,1,北京,116.407526,39.90403,河南,115.029215,35.761829,,,,土壤地理与土地资源,,1991.0,中国科学院地理科学与资源研究所
1.0,陶澍,男,1950,8,上海,121.473701,31.230416,,,,北京大学,,,环境科,1977,,
1.0,滕吉文,男,1934,3,黑龙,126.534967,45.803775,河北,117.330048,38.371383,东北地质学院地球物理系大学,,,地球物理,1956,1999.0,中国科学院地质与地球物理研究所
1.0,童庆禧,男,1935,10,湖北,114.305392,30.593098,,,,苏联敖德萨水文气象学院大学,,,遥感,1961,1997.0,中国科学院遥感应用研究所
1.0,涂传诒,男,1940,7,北京,116.407526,39.90403,,,,北京大学,,,空间物理,1964,2001.0,
1.0,万卫星,男,1958,7,湖北,113.166557,30.663719,,,,武汉大学,,,空间物理,1982,2011.0,中国科学院地质与地球物理研究所
1.0,汪集旸,男,1935,10,江苏,120.645158,31.138677,,,,北京地质学院水文与工程地质系大学,,,地热、水文地质,1956,1995.0,中国科学院地质与地球物理研究所
1.0,汪品先,男,1936,11,江苏,120.585315,31.298886,,,,莫斯科大学,,,海洋地质,1960,1991.0,
1.0,王成善,男,1951,11,黑龙,126.534967,45.803775,,,,成都地质学院（现成都理工大学,,,地质,1981,2013.0,
1.0,王德滋,男,1927,6,江苏,120.051744,32.171854,,,,南京大学,,,岩石,1950,1997.0,
1.0,王会军,男,1964,1,黑龙,130.719081,47.023001,黑龙,130.719081,47.023001,北京大学,,,大气科,1986,,中国科学院大气物理研究所
1.0,王水,男,1942,4,江苏,118.796877,32.060255,,,,南京大学,,,空间物理,1961,1993.0,
1.0,王铁冠,男,1937,12,上海,121.473701,31.230416,,,,北京石油学院大学,,,分子有机地球化学,1965,2005.0,
1.0,王颖,男,1935,2,河南,115.051808,32.131383,辽宁,123.355701,42.741005,南京大学,,,海岸海洋地貌与沉积,1956,2001.0,
1.0,魏奉思,男,1941,11,四川,104.679114,31.46745,,,,中国科技大学,,,空间物理,1963,2005.0,
1.0,文圣常,男,1921,11,河南,114.919033,32.011103,,,,武汉大学,,,物理海洋,1944,1993.0,
1.0,吴福元,男,1962,8,安徽,117.2878,31.25555,安徽,117.2878,31.25555,长春地质学院大学,,,岩石,1984,2015.0,
1.0,吴国雄,男,1943,3,广东,116.601515,23.264936,,,,南京气象学院大学,,,大气动力学学和气候动力学,1966,1997.0,中国科学院大气物理研究所
1.0,吴立新,男,1966,9,安徽,116.97412,31.0358,安徽,116.97412,31.0358,清华大学,,,物理海洋,1988,2013.0,
1.0,吴新智,男,1928,6,安徽,117.227239,31.820586,,,,上海医学院大学,,,古人类,1953,1999.0,中国科学院古脊椎动物与古人类研究所
1.0,伍荣生,男,1934,1,浙江,120.655148,27.778657,,,,南京大学,,,大气科,1956,1999.0,
1.0,夏军,男,1954,9,湖北,113.916902,30.924568,湖北,113.82589,31.616854,武汉大学,,,水文水资源,1976,2015.0,
1.0,肖序常,男,1930,10,贵州,105.947593,26.253072,,,,北京大学,,,构造地质,1952,1991.0,中国地质科学院地质研究所
1.0,徐冠华,男,1941,12,上海,121.473701,31.230416,,,,北京林学院大学,,,资源遥感,1963,1991.0,中国科学院遥感与数学字地球研究所
1.0,徐义刚,男,1966,10,江苏,120.752481,31.654376,江苏,120.752481,31.654376,浙江大学,,,岩石,1987,2017.0,中国科学院广州地球化学学研究所
1.0,许厚泽,男,1934,5,安徽,118.415356,29.861308,,,,同济大学,,,大地测量与地球物理,1955,1991.0,中国科学院测量与地球物理研究所
1.0,许志琴,女,1941,8,上海,121.473701,31.230416,,,,北京大学,,,构造地质,1964,1995.0,中国地质科学院地质研究所
1.0,薛禹群,男,1931,11,江苏,120.31191,31.491169,,,,唐山工学院大学,,,水文地质,1952,1999.0,
1.0,杨经绥,男,1950,6,浙江,120.15507,30.274084,浙江,120.299402,30.419045,长春地质学院地质勘探系大学,,,岩石大地构造,1977,2017.0,中国地质科学院地质研究所
1.0,杨树锋,男,1947,5,浙江,120.15507,30.274084,浙江,120.580232,30.029752,南京大学,,,构造地质,1975,2015.0,
1.0,杨文采,男,1942,10,广东,116.695195,24.347783,,,,北京地质学院大学,,,地球物理,1964,,
1.0,杨元喜,男,1956,7,江苏,118.763232,32.061707,,,,郑州测绘学院大学,,,大地测量,1980,2007.0,中国导航应用管理中心
1.0,姚檀栋,男,1954,7,甘肃,105.242061,35.210831,甘肃,105.242061,35.210831,,,,冰川环境与全球变化学,,2007.0,中国科学院青藏高原研究所
1.0,姚振兴,男,1939,4,上海,121.473701,31.230416,,,,北京大学,,,地球物理,1962,1999.0,中国科学院地质与地球物理研究所
1.0,叶大年,男,1939,7,香港,114.173355,22.320047,广东,112.964446,22.765392,北京地质学院岩矿专业大学,,,矿物,1962,1991.0,中国科学院地质与地球物理研究所
1.0,叶嘉安,男,1952,10,香港,114.173355,22.320047,,,,香港大学,,,城市规划、地理信息科学、城市地理,1974,2003.0,
1.0,殷鸿福,男,1935,3,浙江,122.207215,29.985295,,,,北京地质学院大学,,,地层古生物学及地质,1956,1993.0,
1.0,於崇文,男,1924,2,上海,121.473701,31.230416,浙江,121.550357,29.874556,北京大学,,,地球化学学动力学,1950,1995.0,
1.0,袁道先,男,1933,8,浙江,120.246863,29.708692,,,,南京地质探矿专科学校大学,,,地质,1952,1991.0,国土资源部岩溶地质研究所
1.0,曾庆存,男,1935,5,广东,111.982232,21.857958,,,,北京大学,,,气象学和地球流体力学,1956,1980.0,中国科学院大气物理研究所
1.0,曾融生,男,1924,8,福建,119.384334,25.721143,福建,119.790168,25.49872,厦门大学,,,固体地球物理,1946,1980.0,中国地震局地球物理研究所
1.0,翟明国,男,1947,12,河南,112.602341,35.069031,,,,西北大学,,,地质,1976,2009.0,中国科学院地质与地球物理研究所
1.0,翟裕生,男,1930,2,河北,116.457858,38.873281,,,,北京大学,,,矿床学与区域成矿,1952,1999.0,
1.0,张国伟,男,1939,1,河南,112.528321,32.990833,,,,西北大学,,,构造地质、前寒武纪地质,1961,1999.0,
1.0,张宏福,男,1962,8,陕西,109.88229,33.532172,陕西,109.88229,33.532172,西北大学,,,岩石地球化学,1985,2017.0,
1.0,张经,男,1957,10,内蒙,111.765617,40.817498,,,,,,,化学学海洋学与海洋生物地球化学,,2007.0,
1.0,张弥曼,男,1936,4,江苏,118.796877,32.060255,浙江,120.152791,30.267446,苏联莫斯科大学,,,古脊椎动物,1960,1991.0,中国科学院古脊椎动物与古人类研究所
1.0,张培震,男,1955,12,河南,115.419538,32.473258,,,,长春地质学院大学,,,地震动力学,1979,2015.0,中国地震局地质研究所
1.0,张人禾,男,1962,7,甘肃,103.834303,36.061089,天津,117.200983,39.084158,兰州大学,,,气象,1982,2015.0,中国气象科学研究院
1.0,赵柏林,男,1929,4,辽宁,122.765409,41.516827,,,,清华大学,,,大气科学和遥感,1952,1991.0,
1.0,赵鹏大,男,1931,5,沈阳,123.431474,41.805698,辽宁,124.924083,42.100539,北京大学,,,数学学地质、矿产普查勘探,1952,1993.0,
1.0,赵其国,男,1930,2,湖北,114.305392,30.593098,,,,华中农学院大学,,,土壤地理,1953,1991.0,中国科学院南京土壤研究所
1.0,郑度,男,1936,8,广东,115.841838,23.431294,广东,116.695195,24.347783,中山大学,,,自然地理,1958,1999.0,中国科学院地理科学与资源研究所
1.0,郑永飞,男,1959,10,安徽,117.167564,32.478018,,,,南京大学,,,地球化学,1982,2009.0,
1.0,钟大赉,男,1933,8,山东,120.382639,36.067082,江苏,120.31191,31.491169,北京地质学院大学,,,构造地质,1954,2001.0,中国科学院地质与地球物理研究所
1.0,周成虎,男,1964,8,江苏,118.763232,32.061707,江苏,120.46737,32.533549,南京大学,,,地图学与地理信息系统,1984,2013.0,中国科学院地理科学与资源研究所
1.0,周卫健,女,1953,3,贵州,106.630153,26.647661,,,,贵州大学,,,第四纪地质,1976,2009.0,中国科学院地球环境研究所
1.0,周秀骥,男,1932,9,江苏,119.606536,32.010117,,,,,,,大气物理,,1991.0,
1.0,周志炎,男,1933,1,上海,121.473701,31.230416,浙江,120.680757,30.510659,南京大学,,,古植物,1954,1995.0,中国科学院南京地质古生物研究所
1.0,周忠和,男,1965,1,江苏,119.412966,32.39421,,,,南京大学,,,古生物,1986,2011.0,中国科学院古脊椎动物与古人类研究所
1.0,朱日祥,男,1955,8,山西,113.61244,40.040295,,,,山西大学,,,地球物理,1978,2003.0,
1.0,邹才能,男,1963,9,重庆,106.551556,29.563009,,,,西南石油学院大学,,,石油天然气地质,1987,2017.0,
1.0,包为民,男,1960,,黑龙,126.534967,45.803775,,,,西北电讯工程学院电子工程系信息处理专业大学,,,制导与控制,1982,2005.0,
1.0,保铮,男,1927,12,江苏,120.894291,31.980171,,,,解放军通信工程学院大学,,,电子,1953,1991.0,
1.0,陈定昌,男,1937,1,上海,121.473701,31.230416,江苏,119.425836,32.187849,清华大学,,,导航制导与控制,1963,2009.0,中国航天科工集团第二研究院
1.0,陈桂林,男,1941,12,福建,118.386279,24.960385,,,,西安交通大学,,,空间红外遥感技术,1967,2001.0,中国科学院上海技术物理研究所
1.0,陈国良,男,1938,6,安徽,116.256789,32.653255,,,,西安交通大学,,,并行算法、高性能计算,1961,2003.0,
1.0,陈翰馥,男,1937,2,杭州,120.15507,30.274084,,,,列宁格勒大学,,,自动控制理论,1961,1993.0,中国科学院系统科学研究所
1.0,陈俊亮,男,1933,10,浙江,121.550357,29.874556,,,,上海交通大学,,,通信与电子系统,1955,1991.0,
1.0,陈星弼,男,1931,1,上海,121.473701,31.230416,,,,同济大学,,,半导体器件及微电子学,1952,1999.0,
1.0,陈星旦,男,1927,5,湖南,112.535028,27.73412,,,,湖南大学,,,应用光学,1950,1999.0,中国科学院长春光学精密机械与物理研究所
1.0,褚君浩,男,1945,,江苏,119.823308,31.340637,,,,上海师范学院物理系大学,,,半导体物理和器件,1966,2005.0,
1.0,戴汝为,男,1205,,云南,102.832891,24.880095,,,,北京大学,,,自动化学科,1955,1991.0,中国科学院自动化学研究所
